term,crn,course_code,subject,course_number,section,title,credits,prerequisites,days,start_time,end_time,schedule_type,instructor,building,room,max_enrollment,total_enrollment,remaining_seats
Summer 2026,31389,MATH2025,MATH,2025,1,MULTIVARIABLE CALCULUS,4,MATH1850|MATH1877|MATH1875,MTR,05:15pm,06:25pm,Lecture (LEC),"Pekoske Fulton, Abby",Beatty Hall,418,25,21,4
Summer 2026,31390,MATH2100,MATH,2100,1,PROB & STATS FOR ENGINEERS,4,MATH1877|MATH1875,MWF,08:00am,09:10am,Lecture (LEC),"Qranfal, Youssef",Dobbs Hall,306,25,27,-2
Summer 2026,32047,MATH2100,MATH,2100,2,PROB & STATS FOR ENGINEERS,4,MATH1877|MATH1875,MWF,12:30pm,02:50pm,Lecture (LEC),"Gebresilasie, Semere",Dobbs Hall,306,25,31,-6
Summer 2026,31392,MATH2100,MATH,2100,3,PROB & STATS FOR ENGINEERS,4,MATH1877|MATH1875,MWF,12:30pm,01:40pm,Lecture (LEC),"Salminen, Adam",Wentworth Hall,312,25,24,1
Summer 2026,31393,MATH2100,MATH,2100,4,PROB & STATS FOR ENGINEERS,4,MATH1877|MATH1875,MWF,02:00pm,03:10pm,Lecture (LEC),"Qranfal, Youssef",Dobbs Hall,307,25,21,4
Summer 2026,31394,MATH2100,MATH,2100,5,PROB & STATS FOR ENGINEERS,4,MATH1877|MATH1875,MWF,03:30pm,04:40pm,Lecture (LEC),"Salminen, Adam",Dobbs Hall,306,25,27,-2
Summer 2026,31395,MATH2100,MATH,2100,6,PROB & STATS FOR ENGINEERS,4,MATH1877|MATH1875,MWR,05:15pm,06:25pm,Lecture (LEC),"Zhang, Yu",Dobbs Hall,308,25,24,1
Summer 2026,31396,MATH2600,MATH,2600,1,DIFFER EQUAT & LINEAR SYSTEM,4,MATH1877|MATH1850|MATH1875,MTR,02:00pm,03:10pm,Lecture (LEC),"Melfi, Lauren",Beatty Hall,420,25,11,14
Summer 2026,31397,MATH2860,MATH,2860,1,LINEAR ALGEBRA & MATRIX THEORY,4,MATH1850|MATH1877,MTR,03:30pm,04:40pm,Lecture (LEC),"Pekoske Fulton, Abby",Dobbs Hall,203,25,11,14
Summer 2026,32097,MATH3800,MATH,3800,1,ELEMENTARY NUMBER THEORY,4,,,,,Individualized Study (IND),"Salminen, Adam",,,3,2,1
Summer 2026,31398,MATH4050,MATH,4050,1,"MACHINE LRNG:CONC,TECH, ALGRYM",4,COMP1000|MATH2100,MW,01:00pm,02:45pm,Lecture (LEC),"Husowitz, Barry",Wentworth Hall,214,25,24,1
Summer 2026,31400,MATH4875,MATH,4875,1,REAL ANALYSIS I,4,MATH2025,MWF,12:30pm,01:40pm,Lecture (LEC),"Qranfal, Youssef",Dobbs Hall,307,25,4,21
Summer 2026,31401,MATH5000,MATH,5000,1,APPLIED MATH FINAL YR DES I,4,,MWR,05:15pm,06:25pm,Lecture (LEC),"Morrow, Steven",Wentworth Hall,214,25,5,20
